11n to 19s: 11n 8e 12s 19s, Length: 242.40
11n to 1e: 11n 4n 1e, Length: 185.80
11n to 1w: 11n 8e 5n 1w, Length: 244.40
11n to 20n: 11n 8e 12s 19s 23e 20n, Length: 363.60
11n to 20s: 11n 8e 12s 16e 20s, Length: 303.00
11n to 21n: 11n 8e 12s 19s 23e 24e 21n, Length: 428.20
11n to 21s: 11n 8e 12s 16e 17e 21s, Length: 365.60
11n to 22e: 11n 11s 18s 22e, Length: 246.40
11n to 22w: 11n 8e 12s 19s 22w, Length: 305.00
11n to 23e: 11n 8e 12s 19s 23e, Length: 303.00
11n to 23w: 11n 8e 12s 19s 23e 23w, Length: 363.60
11n to 24e: 11n 8e 12s 19s 23e 24e, Length: 365.60
11n to 24w: 11n 8e 12s 19s 23e 24e 24w, Length: 428.20
11n to 2e: 11n 8e 5n 2e, Length: 242.40
11n to 2w: 11n 8e 9e 6n 2w, Length: 303.00
11n to 3e: 11n 8e 9e 6n 3e, Length: 305.00
11n to 3w: 11n 8e 9e 10e 7n 3w, Length: 367.60
11n to 4n: 11n 4n, Length: 123.20
11n to 4s: 11n 4n 4s, Length: 185.80
11n to 5n: 11n 8e 5n, Length: 181.80
11n to 5s: 11n 8e 5n 5s, Length: 242.40
11n to 6n: 11n 8e 9e 6n, Length: 242.40
11n to 6s: 11n 8e 9e 6n 6s, Length: 303.00
11n to 7n: 11n 8e 9e 10e 7n, Length: 305.00
11n to 7s: 11n 8e 9e 10e 7n 7s, Length: 367.60
11n to 8e: 11n 8e, Length: 121.20
11n to 8w: 11n 8e 8w, Length: 181.80
11n to 9e: 11n 8e 9e, Length: 181.80
11n to 9w: 11n 8e 9e 9w, Length: 242.40
11s to 10e: 11s 15e 16e 13n 10e, Length: 303.00
11s to 10w: 11s 15e 16e 17e 14n 10w, Length: 363.60
11s to 11n: 11s 11n, Length: 121.20
11s to 12n: 11s 15e 12n, Length: 181.80
11s to 12s: 11s 15e 12n 12s, Length: 242.40
11s to 13n: 11s 15e 16e 13n, Length: 242.40
11s to 13s: 11s 15e 16e 13n 13s, Length: 303.00
11s to 14n: 11s 15e 16e 17e 14n, Length: 303.00
11s to 14s: 11s 15e 16e 17e 14n 14s, Length: 363.60
11s to 15e: 11s 15e, Length: 121.20
11s to 15w: 11s 15e 15w, Length: 181.80
11s to 16e: 11s 15e 16e, Length: 181.80
11s to 16w: 11s 15e 16e 16w, Length: 242.40
11s to 17e: 11s 15e 16e 17e, Length: 242.40
11s to 17w: 11s 15e 16e 17e 17w, Length: 303.00
11s to 18n: 11s 18s 18n, Length: 185.80
11s to 18s: 11s 18s, Length: 123.20
11s to 19n: 11s 18s 22e 19n, Length: 246.40
11s to 19s: 11s 15e 19s, Length: 181.80
11s to 1e: 11s 11n 4n 1e, Length: 246.40
11s to 1w: 11s 15e 12n 5n 1w, Length: 305.00
11s to 20n: 11s 18s 22e 23e 20n, Length: 307.00
11s to 20s: 11s 15e 16e 20s, Length: 242.40
11s to 21n: 11s 18s 22e 23e 24e 21n, Length: 371.60
11s to 21s: 11s 15e 16e 17e 21s, Length: 305.00
11s to 22e: 11s 18s 22e, Length: 185.80
11s to 22w: 11s 18s 22e 22w, Length: 248.40
11s to 23e: 11s 18s 22e 23e, Length: 246.40
11s to 23w: 11s 18s 22e 23e 23w, Length: 307.00
11s to 24e: 11s 18s 22e 23e 24e, Length: 309.00
11s to 24w: 11s 18s 22e 23e 24e 24w, Length: 371.60
11s to 2e: 11s 15e 12n 5n 2e, Length: 303.00
11s to 2w: 11s 15e 16e 13n 6n 2w, Length: 363.60
11s to 3e: 11s 15e 16e 13n 6n 3e, Length: 365.60
11s to 3w: 11s 15e 16e 17e 14n 7n 3w, Length: 428.20
11s to 4n: 11s 11n 4n, Length: 183.80
11s to 4s: 11s 11n 4n 4s, Length: 246.40
11s to 5n: 11s 15e 12n 5n, Length: 242.40
11s to 5s: 11s 15e 12n 5n 5s, Length: 303.00
11s to 6n: 11s 15e 16e 13n 6n, Length: 303.00
11s to 6s: 11s 15e 16e 13n 6n 6s, Length: 363.60
11s to 7n: 11s 15e 16e 17e 14n 7n, Length: 365.60
11s to 7s: 11s 15e 16e 17e 14n 7n 7s, Length: 428.20
11s to 8e: 11s 11n 8e, Length: 181.80
11s to 8w: 11s 15e 12n 8w, Length: 242.40
11s to 9e: 11s 15e 12n 9e, Length: 242.40
11s to 9w: 11s 15e 16e 13n 9w, Length: 303.00
12n to 10e: 12n 9e 10e, Length: 181.80
12n to 10w: 12n 9e 10e 10w, Length: 242.40
12n to 11n: 12n 8w 11s 11n, Length: 242.40
12n to 11s: 12n 8w 11s, Length: 181.80
12n to 12s: 12n 12s, Length: 121.20
12n to 13n: 12n 9e 13s 13n, Length: 242.40
12n to 13s: 12n 9e 13s, Length: 181.80
12n to 14n: 12n 9e 13s 17e 14n, Length: 303.00
12n to 14s: 12n 9e 10e 14s, Length: 242.40
12n to 15e: 12n 8w 11s 15e, Length: 242.40
12n to 15w: 12n 12s 15w, Length: 181.80
12n to 16e: 12n 12s 16e, Length: 181.80
12n to 16w: 12n 9e 13s 16w, Length: 242.40
12n to 17e: 12n 9e 13s 17e, Length: 242.40
12n to 17w: 12n 9e 13s 17e 17w, Length: 303.00
12n to 18n: 12n 8w 11s 18s 18n, Length: 307.00
12n to 18s: 12n 8w 11s 18s, Length: 244.40
12n to 19n: 12n 12s 19s 19n, Length: 242.40
12n to 19s: 12n 12s 19s, Length: 181.80
12n to 1e: 12n 5n 1w 1e, Length: 246.40
12n to 1w: 12n 5n 1w, Length: 183.80
12n to 20n: 12n 9e 13s 20s 20n, Length: 303.00
12n to 20s: 12n 9e 13s 20s, Length: 242.40
12n to 21n: 12n 9e 13s 20s 24e 21n, Length: 367.60
12n to 21s: 12n 9e 13s 17e 21s, Length: 305.00
12n to 22e: 12n 8w 11s 18s 22e, Length: 307.00
12n to 22w: 12n 12s 19s 22w, Length: 244.40
12n to 23e: 12n 12s 19s 23e, Length: 242.40
12n to 23w: 12n 9e 13s 20s 23w, Length: 303.00
12n to 24e: 12n 9e 13s 20s 24e, Length: 305.00
12n to 24w: 12n 9e 13s 20s 24e 24w, Length: 367.60
12n to 2e: 12n 5n 2e, Length: 181.80
12n to 2w: 12n 9e 6n 2w, Length: 242.40
12n to 3e: 12n 9e 6n 3e, Length: 244.40
12n to 3w: 12n 9e 10e 7n 3w, Length: 307.00
12n to 4n: 12n 8w 4n, Length: 183.80
12n to 4s: 12n 5n 1w 4s, Length: 246.40
12n to 5n: 12n 5n, Length: 121.20
12n to 5s: 12n 5n 5s, Length: 181.80
12n to 6n: 12n 9e 6n, Length: 181.80
12n to 6s: 12n 9e 6n 6s, Length: 242.40
12n to 7n: 12n 9e 10e 7n, Length: 244.40
12n to 7s: 12n 9e 10e 7n 7s, Length: 307.00
12n to 8e: 12n 8w 8e, Length: 181.80
12n to 8w: 12n 8w, Length: 121.20
12n to 9e: 12n 9e, Length: 121.20
12n to 9w: 12n 9e 9w, Length: 181.80
12s to 10e: 12s 16e 13n 10e, Length: 242.40
12s to 10w: 12s 16e 17e 14n 10w, Length: 303.00
12s to 11n: 12s 15w 11n, Length: 181.80
12s to 11s: 12s 15w 11n 11s, Length: 242.40
12s to 12n: 12s 12n, Length: 121.20
12s to 13n: 12s 16e 13n, Length: 181.80
12s to 13s: 12s 16e 13n 13s, Length: 242.40
12s to 14n: 12s 16e 17e 14n, Length: 242.40
12s to 14s: 12s 16e 17e 14n 14s, Length: 303.00
12s to 15e: 12s 15w 15e, Length: 181.80
12s to 15w: 12s 15w, Length: 121.20
12s to 16e: 12s 16e, Length: 121.20
12s to 16w: 12s 16e 16w, Length: 181.80
12s to 17e: 12s 16e 17e, Length: 181.80
12s to 17w: 12s 16e 17e 17w, Length: 242.40
12s to 18n: 12s 15w 18s 18n, Length: 246.40
12s to 18s: 12s 15w 18s, Length: 183.80
12s to 19n: 12s 19s 19n, Length: 181.80
12s to 19s: 12s 19s, Length: 121.20
12s to 1e: 12s 15w 11n 4n 1e, Length: 307.00
12s to 1w: 12s 12n 5n 1w, Length: 244.40
12s to 20n: 12s 19s 23e 20n, Length: 242.40
12s to 20s: 12s 16e 20s, Length: 181.80
12s to 21n: 12s 19s 23e 24e 21n, Length: 307.00
12s to 21s: 12s 16e 17e 21s, Length: 244.40
12s to 22e: 12s 15w 18s 22e, Length: 246.40
12s to 22w: 12s 19s 22w, Length: 183.80
12s to 23e: 12s 19s 23e, Length: 181.80
12s to 23w: 12s 19s 23e 23w, Length: 242.40
12s to 24e: 12s 19s 23e 24e, Length: 244.40
12s to 24w: 12s 19s 23e 24e 24w, Length: 307.00
12s to 2e: 12s 12n 5n 2e, Length: 242.40
12s to 2w: 12s 16e 13n 6n 2w, Length: 303.00
12s to 3e: 12s 16e 13n 6n 3e, Length: 305.00
12s to 3w: 12s 16e 17e 14n 7n 3w, Length: 367.60
12s to 4n: 12s 15w 11n 4n, Length: 244.40
12s to 4s: 12s 15w 11n 4n 4s, Length: 307.00
12s to 5n: 12s 12n 5n, Length: 181.80
12s to 5s: 12s 12n 5n 5s, Length: 242.40
12s to 6n: 12s 16e 13n 6n, Length: 242.40
12s to 6s: 12s 16e 13n 6n 6s, Length: 303.00
12s to 7n: 12s 16e 17e 14n 7n, Length: 305.00
12s to 7s: 12s 16e 17e 14n 7n 7s, Length: 367.60
12s to 8e: 12s 15w 11n 8e, Length: 242.40
12s to 8w: 12s 12n 8w, Length: 181.80
12s to 9e: 12s 12n 9e, Length: 181.80
12s to 9w: 12s 16e 13n 9w, Length: 242.40
13n to 10e: 13n 10e, Length: 121.20
13n to 10w: 13n 10e 10w, Length: 181.80
13n to 11n: 13n 9w 8w 11s 11n, Length: 303.00
13n to 11s: 13n 9w 8w 11s, Length: 242.40
13n to 12n: 13n 9w 12s 12n, Length: 242.40
13n to 12s: 13n 9w 12s, Length: 181.80
13n to 13s: 13n 13s, Length: 121.20
13n to 14n: 13n 10e 14s 14n, Length: 242.40
13n to 14s: 13n 10e 14s, Length: 181.80
13n to 15e: 13n 9w 8w 11s 15e, Length: 303.00
13n to 15w: 13n 9w 12s 15w, Length: 242.40
13n to 16e: 13n 9w 12s 16e, Length: 242.40
13n to 16w: 13n 13s 16w, Length: 181.80
13n to 17e: 13n 13s 17e, Length: 181.80
13n to 17w: 13n 10e 14s 17w, Length: 242.40
13n to 18n: 13n 9w 8w 11s 18s 18n, Length: 367.60
13n to 18s: 13n 9w 8w 11s 18s, Length: 305.00
13n to 19n: 13n 9w 12s 19s 19n, Length: 303.00
13n to 19s: 13n 9w 12s 19s, Length: 242.40
13n to 1e: 13n 6n 2w 1w 1e, Length: 307.00
13n to 1w: 13n 6n 2w 1w, Length: 244.40
13n to 20n: 13n 13s 20s 20n, Length: 242.40
13n to 20s: 13n 13s 20s, Length: 181.80
13n to 21n: 13n 10e 14s 21s 21n, Length: 307.00
13n to 21s: 13n 10e 14s 21s, Length: 244.40
13n to 22e: 13n 9w 8w 11s 18s 22e, Length: 367.60
13n to 22w: 13n 9w 12s 19s 22w, Length: 305.00
13n to 23e: 13n 9w 12s 19s 23e, Length: 303.00
13n to 23w: 13n 13s 20s 23w, Length: 242.40
13n to 24e: 13n 13s 20s 24e, Length: 244.40
13n to 24w: 13n 10e 14s 21s 24w, Length: 307.00
13n to 2e: 13n 6n 2w 2e, Length: 242.40
13n to 2w: 13n 6n 2w, Length: 181.80
13n to 3e: 13n 6n 3e, Length: 183.80
13n to 3w: 13n 10e 7n 3w, Length: 246.40
13n to 4n: 13n 9w 8w 4n, Length: 244.40
13n to 4s: 13n 6n 2w 1w 4s, Length: 307.00
13n to 5n: 13n 9w 5n, Length: 181.80
13n to 5s: 13n 6n 2w 5s, Length: 242.40
13n to 6n: 13n 6n, Length: 121.20
13n to 6s: 13n 6n 6s, Length: 181.80
13n to 7n: 13n 10e 7n, Length: 183.80
13n to 7s: 13n 10e 7n 7s, Length: 246.40
13n to 8e: 13n 9w 8w 8e, Length: 242.40
13n to 8w: 13n 9w 8w, Length: 181.80
13n to 9e: 13n 9w 9e, Length: 181.80
13n to 9w: 13n 9w, Length: 121.20
13s to 10e: 13s 13n 10e, Length: 181.80
13s to 10w: 13s 17e 14n 10w, Length: 242.40
13s to 11n: 13s 16w 15w 11n, Length: 242.40
13s to 11s: 13s 16w 12n 8w 11s, Length: 303.00
13s to 12n: 13s 16w 12n, Length: 181.80
13s to 12s: 13s 16w 12n 12s, Length: 242.40
13s to 13n: 13s 13n, Length: 121.20
13s to 14n: 13s 17e 14n, Length: 181.80
13s to 14s: 13s 17e 14n 14s, Length: 242.40
13s to 15e: 13s 16w 15w 15e, Length: 242.40
13s to 15w: 13s 16w 15w, Length: 181.80
13s to 16e: 13s 16w 16e, Length: 181.80
13s to 16w: 13s 16w, Length: 121.20
13s to 17e: 13s 17e, Length: 121.20
13s to 17w: 13s 17e 17w, Length: 181.80
13s to 18n: 13s 16w 15w 18s 18n, Length: 307.00
13s to 18s: 13s 16w 15w 18s, Length: 244.40
13s to 19n: 13s 16w 19s 19n, Length: 242.40
13s to 19s: 13s 16w 19s, Length: 181.80
13s to 1e: 13s 16w 12n 5n 1w 1e, Length: 367.60
13s to 1w: 13s 16w 12n 5n 1w, Length: 305.00
13s to 20n: 13s 20s 20n, Length: 181.80
13s to 20s: 13s 20s, Length: 121.20
13s to 21n: 13s 20s 24e 21n, Length: 246.40
13s to 21s: 13s 17e 21s, Length: 183.80
13s to 22e: 13s 16w 15w 18s 22e, Length: 307.00
13s to 22w: 13s 16w 19s 22w, Length: 244.40
13s to 23e: 13s 16w 19s 23e, Length: 242.40
13s to 23w: 13s 20s 23w, Length: 181.80
13s to 24e: 13s 20s 24e, Length: 183.80
13s to 24w: 13s 20s 24e 24w, Length: 246.40
13s to 2e: 13s 16w 12n 5n 2e, Length: 303.00
13s to 2w: 13s 13n 6n 2w, Length: 242.40
13s to 3e: 13s 13n 6n 3e, Length: 244.40
13s to 3w: 13s 17e 14n 7n 3w, Length: 307.00
13s to 4n: 13s 16w 12n 8w 4n, Length: 305.00
13s to 4s: 13s 16w 12n 5n 1w 4s, Length: 367.60
13s to 5n: 13s 16w 12n 5n, Length: 242.40
13s to 5s: 13s 16w 12n 5n 5s, Length: 303.00
13s to 6n: 13s 13n 6n, Length: 181.80
13s to 6s: 13s 13n 6n 6s, Length: 242.40
13s to 7n: 13s 17e 14n 7n, Length: 244.40
13s to 7s: 13s 17e 14n 7n 7s, Length: 307.00
13s to 8e: 13s 16w 12n 8w 8e, Length: 303.00
13s to 8w: 13s 16w 12n 8w, Length: 242.40
13s to 9e: 13s 16w 12n 9e, Length: 242.40
13s to 9w: 13s 13n 9w, Length: 181.80
14n to 10e: 14n 10w 10e, Length: 181.80
14n to 10w: 14n 10w, Length: 121.20
14n to 11n: 14n 10w 9w 8w 11s 11n, Length: 363.60
14n to 11s: 14n 10w 9w 8w 11s, Length: 303.00
14n to 12n: 14n 10w 9w 12s 12n, Length: 303.00
14n to 12s: 14n 10w 9w 12s, Length: 242.40
14n to 13n: 14n 10w 13s 13n, Length: 242.40
14n to 13s: 14n 10w 13s, Length: 181.80
14n to 14s: 14n 14s, Length: 121.20
14n to 15e: 14n 10w 9w 8w 11s 15e, Length: 363.60
14n to 15w: 14n 10w 9w 12s 15w, Length: 303.00
14n to 16e: 14n 10w 9w 12s 16e, Length: 303.00
14n to 16w: 14n 10w 13s 16w, Length: 242.40
14n to 17e: 14n 10w 13s 17e, Length: 242.40
14n to 17w: 14n 14s 17w, Length: 181.80
14n to 18n: 14n 10w 9w 8w 11s 18s 18n, Length: 428.20
14n to 18s: 14n 10w 9w 8w 11s 18s, Length: 365.60
14n to 19n: 14n 10w 9w 12s 19s 19n, Length: 363.60
14n to 19s: 14n 10w 9w 12s 19s, Length: 303.00
14n to 1e: 14n 7n 3w 2w 1w 1e, Length: 371.60
14n to 1w: 14n 7n 3w 2w 1w, Length: 309.00
14n to 20n: 14n 10w 13s 20s 20n, Length: 303.00
14n to 20s: 14n 10w 13s 20s, Length: 242.40
14n to 21n: 14n 14s 21s 21n, Length: 246.40
14n to 21s: 14n 14s 21s, Length: 183.80
14n to 22e: 14n 10w 9w 8w 11s 18s 22e, Length: 428.20
14n to 22w: 14n 10w 9w 12s 19s 22w, Length: 365.60
14n to 23e: 14n 10w 9w 12s 19s 23e, Length: 363.60
14n to 23w: 14n 10w 13s 20s 23w, Length: 303.00
14n to 24e: 14n 10w 13s 20s 24e, Length: 305.00
14n to 24w: 14n 14s 21s 24w, Length: 246.40
14n to 2e: 14n 7n 3w 2w 2e, Length: 307.00
14n to 2w: 14n 7n 3w 2w, Length: 246.40
14n to 3e: 14n 7n 3w 3e, Length: 248.40
14n to 3w: 14n 7n 3w, Length: 185.80
14n to 4n: 14n 10w 9w 8w 4n, Length: 305.00
14n to 4s: 14n 7n 3w 2w 1w 4s, Length: 371.60
14n to 5n: 14n 10w 9w 5n, Length: 242.40
14n to 5s: 14n 7n 3w 2w 5s, Length: 307.00
14n to 6n: 14n 10w 6n, Length: 181.80
14n to 6s: 14n 7n 3w 6s, Length: 246.40
14n to 7n: 14n 7n, Length: 123.20
14n to 7s: 14n 7n 7s, Length: 185.80
14n to 8e: 14n 10w 9w 8w 8e, Length: 303.00
14n to 8w: 14n 10w 9w 8w, Length: 242.40
14n to 9e: 14n 10w 9w 9e, Length: 242.40
14n to 9w: 14n 10w 9w, Length: 181.80
14s to 10e: 14s 17w 13n 10e, Length: 242.40
14s to 10w: 14s 14n 10w, Length: 181.80
14s to 11n: 14s 17w 16w 15w 11n, Length: 303.00
14s to 11s: 14s 17w 13n 9w 8w 11s, Length: 363.60
14s to 12n: 14s 17w 16w 12n, Length: 242.40
14s to 12s: 14s 17w 13n 9w 12s, Length: 303.00
14s to 13n: 14s 17w 13n, Length: 181.80
14s to 13s: 14s 17w 13n 13s, Length: 242.40
14s to 14n: 14s 14n, Length: 121.20
14s to 15e: 14s 17w 16w 15w 15e, Length: 303.00
14s to 15w: 14s 17w 16w 15w, Length: 242.40
14s to 16e: 14s 17w 16w 16e, Length: 242.40
14s to 16w: 14s 17w 16w, Length: 181.80
14s to 17e: 14s 17w 17e, Length: 181.80
14s to 17w: 14s 17w, Length: 121.20
14s to 18n: 14s 17w 16w 15w 18s 18n, Length: 367.60
14s to 18s: 14s 17w 16w 15w 18s, Length: 305.00
14s to 19n: 14s 17w 16w 19s 19n, Length: 303.00
14s to 19s: 14s 17w 16w 19s, Length: 242.40
14s to 1e: 14s 17w 13n 6n 2w 1w 1e, Length: 428.20
14s to 1w: 14s 17w 13n 6n 2w 1w, Length: 365.60
14s to 20n: 14s 17w 20s 20n, Length: 242.40
14s to 20s: 14s 17w 20s, Length: 181.80
14s to 21n: 14s 21s 21n, Length: 185.80
14s to 21s: 14s 21s, Length: 123.20
14s to 22e: 14s 17w 16w 15w 18s 22e, Length: 367.60
14s to 22w: 14s 17w 16w 19s 22w, Length: 305.00
14s to 23e: 14s 17w 16w 19s 23e, Length: 303.00
14s to 23w: 14s 17w 20s 23w, Length: 242.40
14s to 24e: 14s 17w 20s 24e, Length: 244.40
14s to 24w: 14s 21s 24w, Length: 185.80
14s to 2e: 14s 17w 13n 6n 2w 2e, Length: 363.60
14s to 2w: 14s 17w 13n 6n 2w, Length: 303.00
14s to 3e: 14s 17w 13n 6n 3e, Length: 305.00
14s to 3w: 14s 14n 7n 3w, Length: 246.40
14s to 4n: 14s 17w 13n 9w 8w 4n, Length: 365.60
14s to 4s: 14s 17w 13n 6n 2w 1w 4s, Length: 428.20
14s to 5n: 14s 17w 13n 9w 5n, Length: 303.00
14s to 5s: 14s 17w 13n 6n 2w 5s, Length: 363.60
14s to 6n: 14s 17w 13n 6n, Length: 242.40
14s to 6s: 14s 17w 13n 6n 6s, Length: 303.00
14s to 7n: 14s 14n 7n, Length: 183.80
14s to 7s: 14s 14n 7n 7s, Length: 246.40
14s to 8e: 14s 17w 13n 9w 8w 8e, Length: 363.60
14s to 8w: 14s 17w 13n 9w 8w, Length: 303.00
14s to 9e: 14s 17w 13n 9w 9e, Length: 303.00
14s to 9w: 14s 17w 13n 9w, Length: 242.40
15e to 10e: 15e 16e 13n 10e, Length: 242.40
15e to 10w: 15e 16e 17e 14n 10w, Length: 303.00
15e to 11n: 15e 15w 11n, Length: 181.80
15e to 11s: 15e 12n 8w 11s, Length: 242.40
15e to 12n: 15e 12n, Length: 121.20
15e to 12s: 15e 12n 12s, Length: 181.80
15e to 13n: 15e 16e 13n, Length: 181.80
15e to 13s: 15e 16e 13n 13s, Length: 242.40
15e to 14n: 15e 16e 17e 14n, Length: 242.40
15e to 14s: 15e 16e 17e 14n 14s, Length: 303.00
15e to 15w: 15e 15w, Length: 121.20
15e to 16e: 15e 16e, Length: 121.20
15e to 16w: 15e 16e 16w, Length: 181.80
15e to 17e: 15e 16e 17e, Length: 181.80
15e to 17w: 15e 16e 17e 17w, Length: 242.40
15e to 18n: 15e 19s 22w 18n, Length: 246.40
